Label,Message
0,thats cool day
0,work ah den plus lor workin oso rite den go orchard lor place go liao
0,hi email address changed
0,uncle checking rewarding month
0,ok ive sent da latest version da project
0,ooh 4got im gonna start belly dancing moseley weds 630 want join cafe
0,ah poop looks like ill prob send laptop get fixed cuz gpu problem
0,thanks chikku gud nyt
1,guaranteed latest nokia phone 40gb ipod mp3 player £500 prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18
0,im meeting darren
1,get ur 1st ringtone free reply msg tone gr8 top 20 tones phone every week £150 per wk opt send stop 08452810071 16
0,also wheres piece
0,eat jap done oso aft ur lect wat got lect 12 rite
0,hi im relaxing time ever get 7am every day party good night get home tomorrow 5ish
0,ok ok take care understand
0,true easier
0,money issue weigh thanks breathe easier ill make sure dont regret thanks
0,nothing jus tot would ask cos ba gua went mt faber yest yest jus went already mah today going jus call lor
0,good evening
0,cool ltgt inches long hope like big
0,apart one told yesterday
0,thnx dude guys 2nite
0,hmmm mayb try shoppin area one forgot name hotel
0,haha im dinner cousin
0,god picked flower dippeditinadew lovingly touched itwhichturnedinto gifted tomeandsaidthis friend 4u
0,okok okthenwhats ur todays plan
0,sorryin meeting ill call later
0,miss vday parachute double coins must know well
0,aslamalaikkuminsha allah tohar beeen muht albi mufti mahfuuzmeaning
0,hows going got exciting karaoke type activities planned im debating whether play football eve feeling lazy though
0,well theres pattern emerging friends telling drive come smoke telling im weed fiendmake smoke muchimpede things see im hesitant
0,cancel cheyyamoand get money back
0,please ask macho price range want something new used plus interfued blackberry bold ltgt bb
0,umma say anything
0,hope ur head doesnt hurt much ploughing way pile ironing staying chinky tonight come round like
0,erm woodland avenue somewhere get parish magazine telephone number
1,would like see xxx pics hot nearly banned uk
0,hi darlin youphone im athome youwanna chat
1,urgent please call 09061743810 landline abta complimentary tenerife holiday 5000 cash await collection sae tcs box 326 cw25wx 150 ppm
0,sent like
0,may approve panalambut posts
0,lol well dont without could big sale together
0,wait minstand bus stop
0,huh lei
0,well weather calis great complexities great need car move freely taxes outrageous great place sad part missing home
0,dun believe thk told
0,sure ill see come bit
0,ya one slow poo
1,someone know asked dating service contact cant guess call 09058095107 revealed pobox s3xy 150p
0,youre still maybe leave credit card get gas get back like told
0,ok ksry knw sivatats askd
0,raviyog peripherals bhayandar east
0,sure relatives home sms de pls
0,fyi im usf swing room whenever
0,captain room
1,hi customer loyalty offerthe new nokia6650 mobile £10 txtauction txt word start 81151 get 4tctxt tc 150pmtmsg
0,sent ltgt bucks
0,dont worry day big lambu ji vl cometil enjoy batchlor party
0,kkcongratulation
0,hi babe thanks coming even though didnt go welli wanted bed hope see soon love kisses xxx
1,spook mob halloween collection logo pic message plus free eerie tone txt card spook 8007 zed 08701417012150p per logopic
0,pathaya enketa maraikara pa
0,well right im gonna get check todays steam salespee text want come get
0,left dessert wan go suntec look
0,tmrw im finishing doors
0,meet corporation st outside gap see mind working
0,sorry da thangamits mistake
0,online transaction
1,free 1st week no1 nokia tone ur mob every week txt nokia 8007 get txting tell ur mates wwwgetzedcouk pobox 36504 w45wq norm150ptone 16
0,kkadvance happy pongal
0,bad girl still remember
0,taka lor wat time wan come look us
0,yeah thats fine £6 get ok
0,yeah usual guys town therere definitely people around know
0,wish things different wonder able show much value pls continue brisk walks drugs without askin please find things laugh love dearly
0,huh means computational science like dat one push
0,dunno wat get
0,jot things want remember later
0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
0,juz go google search qet
0,hi dude hw da realy mising today
0,thats fine ill bitch later
1,todays vodafone numbers ending 0089my last four digits selected received £350 award number matches please call 09063442151 claim £350 award
0,black shirt blue jeans thk
0,hows feel mr real valentine yo valentine even tho hardly play
0,okie thanx
0,sindu got job birla soft
0,didnt search online let know
0,hey thk juz go accordin wat discussed yest lor except kb sun cos theres nt much lesson go attend kb sat
0,try neva mate
0,lot sickness thing going round take easy hope feel better soon lol
0,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz
0,well great weekend
0,haha sounds crazy dunno tahan anot
0,carlosll minute still need buy
0,hiya paying money account thanks got pleasant surprise checked balance dont get statements acc
0,bored come home
0,means get door
1,win newest “harry potter order phoenix book reply harry answer questions chance first among readers
0,amazing rearrange letters gives meaning dormitory dirty room astronomer moon starer eyes see election results lies lets recount motherinlaw woman hitler eleven plus two twelve plus one amazing
0,came hostel going sleep plz call class hrishi
1,kit strip billed 150p netcollex ltd po box 1013 ig11 oja
0,big chic common declare
0,running managed minutes needed oxygen might resort roller option
0,cps causing outages conserve energy
0,problem baby good time talk called left message
1,enjoy jamster videosound gold club credits new videosounds2 logosmusicnews get fun jamstercouk 16only help call 09701213186
0,big brother‘s really scraped barrel shower social misfits
0,may call later pls
0,aah cuddle would lush id need lots tea soup kind fumbling
0,long applebees fucking take
0,aight sounds good want come
0,going dinnermsg
0,go buy wif meet later
0,found diff farm shop buy cheese way back call
0,hey galsu wanna meet dinner nìte
0,nothing ok anyway give treat
0,hows things quick question
0,know result
0,whatever want know rules talk earlier week start happening showing responsibility yet every week bend rule way way whatever im tired thia argument every week ltgt movie doesnt inlude previews youre still getting
0,2mro coming gym machan goodnight
0,get class bsn like ltgt minutes know advising
0,funeral home audrey dad
0,sac score big hundredhe set batsman
0,mag meeting avo point
0,dont know thing thats wrong everyso often panicks starts goin bout bein good enough
0,hey dont go watch men lunch haha
0,sorry ive gone place ill tomorrow really sorry
0,hoping enjoyed game yesterday sorry ive touch pls know fondly bein thot great week abiola
0,haf eaten wat time wan come
0,buy newspapers already
0,evening good somewhat event laden fill dont worry head ok throat wrecked see six
0,whats nannys address
0,actually mobile full msg work online need send ltgt sent msg wil explain later
0,okay good problem thanx
0,oh right ok ill make sure loads work day got really nasty cough today dry shot really help
0,fffff text kadeem far gone
0,dare stupid wont tell anything hear wont talk
0,bus leaves ltgt
1,4mths half price orange line rental latest camera phones free phone 11mths call mobilesdirect free 08000938767 update or2stoptxt tcs
0,meant apology texting get drugs ltgt night
0,nice waitshould texting right im gonna pay ticket ya know
1,recieve tone within next 24hrs terms conditions please see channel teletext pg 750
0,said look pretty wif long hair wat thk hes cutting quite short leh
0,sir waiting letter
0,youre sure dont consent forms
0,whos class
0,huh fast dat means havent finished painting
0,yes possible dint try pls dont tell one
1,ringtoneking 84484
